Name,Link,Gender,Type
M_Cargo pants,https://www.dropbox.com/work/Development/z-weave%20chatbot/zls?preview=M_Cargo+pants.zls,Men,Pants
M_Denim jacket,https://www.dropbox.com/work/Development/z-weave%20chatbot/zls?preview=M_Denim+jacket.zls#,Men,Jacket
M_Knit vest,https://www.dropbox.com/work/Development/z-weave%20chatbot/zls#,Men,Vest
M_Multi pocket jacket,https://www.dropbox.com/work/Development/z-weave%20chatbot/zls#,Men,Jacket
M_Out pocket parka,https://www.dropbox.com/work/Development/z-weave%20chatbot/zls#,Men,Jacket
M_Short-sleeve sheer shirt,https://www.dropbox.com/work/Development/z-weave%20chatbot/zls#,Men,Shirt
M_Tailored shorts,https://www.dropbox.com/work/Development/z-weave%20chatbot/zls,Men,Shorts
M_Three-quarter sleeve shirt,https://www.dropbox.com/work/Development/z-weave%20chatbot/zls#,Men,Shirt
M_Trench Coat,https://www.dropbox.com/work/Development/z-weave%20chatbot/zls#,Men,Coat
M_Wide tailored pants,https://www.dropbox.com/work/Development/z-weave%20chatbot/zls,Men,Pants
M_Workwear Jumpsuit,https://www.dropbox.com/work/Development/z-weave%20chatbot/zls,Men,Jumpsuit
W_Button mini skirt,https://www.dropbox.com/work/Development/z-weave%20chatbot/zls#,Women,Skirt
W_Cargo mini skrit,https://www.dropbox.com/work/Development/z-weave%20chatbot/zls#,Women,Skirt
W_Crochet shorts,https://www.dropbox.com/work/Development/z-weave%20chatbot/zls#,Women,Shorts
W_Cropped jacket,https://www.dropbox.com/work/Development/z-weave%20chatbot/zls#,Women,Jacket
